League,Match,Outcome,Model Prob,Betclic Odds,Implied Prob,Edge,EV,Value Bet
Premier League J30,Burnley vs Bournemouth,H,0.18345259,3.95,0.2364451379431648,-0.052992553,-0.27536225,False
Premier League J30,Burnley vs Bournemouth,D,0.2476162,3.73,0.2503909637735928,-0.002774775,-0.07639158,False
Premier League J30,Burnley vs Bournemouth,A,0.5689312,1.82,0.5131638982832423,0.055767298,0.03545487,True
Premier League J30,Sunderland vs Brighton,H,0.31708393,3.28,0.28526925497757205,0.031814665,0.040035248,False
Premier League J30,Sunderland vs Brighton,D,0.28168228,3.3,0.2835403504019504,-0.0018580556,-0.07044846,False
Premier League J30,Sunderland vs Brighton,A,0.4012338,2.17,0.43119039462047754,-0.029956609,-0.12932265,False
Premier League J30,Chelsea vs Newcastle,H,0.6168547,1.75,0.5341532545457559,0.082701445,0.07949579,True
Premier League J30,Chelsea vs Newcastle,D,0.1836582,4.1,0.22799224279392022,-0.04433404,-0.24700141,False
Premier League J30,Chelsea vs Newcastle,A,0.19948706,3.93,0.23785450266032387,-0.038367435,-0.21601582,False
Premier League J30,Arsenal vs Everton,H,0.6392919,1.34,0.6973813309875834,-0.058089435,-0.14334887,False
Premier League J30,Arsenal vs Everton,D,0.22563562,4.85,0.19267855330378594,0.032957062,0.094332695,False
Premier League J30,Arsenal vs Everton,A,0.13507245,8.5,0.10994011570863078,0.025132336,0.14811587,False
Premier League J30,West Ham vs Manchester City,H,0.12693389,4.5,0.20821508588498877,-0.0812812,-0.42879748,False
Premier League J30,West Ham vs Manchester City,D,0.23888564,4.25,0.22046303211351753,0.018422604,0.015264034,False
Premier League J30,West Ham vs Manchester City,A,0.6341804,1.64,0.5713218820014936,0.06285852,0.04005587,True
Premier League J30,Manchester United vs Aston Villa,H,0.43878934,1.73,0.5399252230061922,-0.10113588,-0.24089444,False
Premier League J30,Manchester United vs Aston Villa,D,0.3129966,3.93,0.23767700656506677,0.07531959,0.23007667,True
Premier League J30,Manchester United vs Aston Villa,A,0.248214,4.2,0.22239777042874104,0.025816232,0.042498827,False
Premier League J30,Nottingham Forest vs Fulham,H,0.3108683,2.12,0.4401703987584328,-0.12930211,-0.34095925,False
Premier League J30,Nottingham Forest vs Fulham,D,0.27105397,3.4,0.2744591898140816,-0.0034052134,-0.07841647,False
Premier League J30,Nottingham Forest vs Fulham,A,0.41807774,3.27,0.2853704114274855,0.13270733,0.3671142,True
Premier League J30,Crystal Palace vs Leeds,H,0.4839201,2.3,0.4069238458556886,0.07699624,0.11301625,True
Premier League J30,Crystal Palace vs Leeds,D,0.30111873,3.27,0.28621554907280844,0.014903188,-0.015341759,False
Premier League J30,Crystal Palace vs Leeds,A,0.21496117,3.05,0.30686060507150287,-0.091899425,-0.34436846,False
Premier League J30,Liverpool vs Tottenham,H,0.77637994,1.32,0.7090576395242453,0.067322314,0.02482152,True
Premier League J30,Liverpool vs Tottenham,D,0.12594624,5.5,0.17017383348581885,-0.0442276,-0.30729568,False
Premier League J30,Liverpool vs Tottenham,A,0.09767383,7.75,0.12076852698993595,-0.023094691,-0.2430278,False
Premier League J30,Brentford vs Wolverhampton,H,0.6093038,1.54,0.6056625802685348,0.0036411881,-0.06167221,False
Premier League J30,Brentford vs Wolverhampton,D,0.23787865,4.15,0.22475189725627553,0.013126746,-0.012803555,False
Premier League J30,Brentford vs Wolverhampton,A,0.15281753,5.5,0.16958552247518974,-0.016767994,-0.15950358,False
La Liga J28,Alaves vs Villarreal,H,0.27912602,3.28,0.2847481195878895,-0.005622089,-0.084466696,False
La Liga J28,Alaves vs Villarreal,D,0.2854847,3.4,0.27469818595537576,0.010786504,-0.02935201,False
La Liga J28,Alaves vs Villarreal,A,0.43538928,2.12,0.44055369445673465,-0.0051644146,-0.07697475,False
La Liga J28,Girone vs Athletic Bilbao,H,0.4042725,2.72,0.344008715502867,0.060263783,0.09962118,True
La Liga J28,Girone vs Athletic Bilbao,D,0.21556672,3.27,0.2861479223754735,-0.0705812,-0.2950968,False
La Liga J28,Girone vs Athletic Bilbao,A,0.38016078,2.53,0.36984336212165947,0.010317415,-0.038193226,False
La Liga J28,Atletico Madrid vs Getafe,H,0.6807808,1.58,0.5923413408341176,0.088439465,0.075633764,True
La Liga J28,Atletico Madrid vs Getafe,D,0.20355722,3.58,0.2614243906474597,-0.05786717,-0.27126515,False
La Liga J28,Atletico Madrid vs Getafe,A,0.11566193,6.4,0.14623426851842278,-0.030572347,-0.25976366,False
La Liga J28,Real Oviedo vs Valencia,H,0.36173415,2.85,0.32783583029082214,0.033898324,0.03094232,False
La Liga J28,Real Oviedo vs Valencia,D,0.30078244,3.1,0.301397456880272,-0.0006150007,-0.06757444,False
La Liga J28,Real Oviedo vs Valencia,A,0.33748335,2.52,0.370766712828906,-0.033283353,-0.14954197,False
La Liga J28,Real Madrid vs Elche,H,0.7713289,1.22,0.766940105629846,0.004388809,-0.058978677,False
La Liga J28,Real Madrid vs Elche,D,0.14763495,6.5,0.14394875828744802,0.0036861897,-0.04037279,False
La Liga J28,Real Madrid vs Elche,A,0.08103615,10.5,0.08911113608270592,-0.008074984,-0.14912045,False
La Liga J28,Majorque vs Espanyol,H,0.42964548,2.32,0.4027700101983749,0.026875466,-0.0032225251,False
La Liga J28,Majorque vs Espanyol,D,0.29190654,3.08,0.30338520248708756,-0.0114786625,-0.10092789,False
La Liga J28,Majorque vs Espanyol,A,0.27844805,3.18,0.2938447873145376,-0.015396744,-0.11453521,False
La Liga J28,Barcelona vs Seville,H,0.814976,1.21,0.7713892832787399,0.04358667,-0.013879061,False
La Liga J28,Barcelona vs Seville,D,0.0955112,6.9,0.13527261344453265,-0.03976141,-0.34097272,False
La Liga J28,Barcelona vs Seville,A,0.0895128,10.0,0.09333810327672752,-0.0038252994,-0.10487199,False
La Liga J28,Betis vs Celta Vigo,H,0.42939627,2.17,0.4311110756959413,-0.0017147958,-0.068210065,False
La Liga J28,Betis vs Celta Vigo,D,0.2933741,3.23,0.28963189915176246,0.0037421882,-0.052401662,False
La Liga J28,Betis vs Celta Vigo,A,0.2772296,3.35,0.2792570251522963,-0.0020274222,-0.07128084,False
La Liga J28,Real Sociedad vs Osasuna,H,0.45068854,1.91,0.4889236762109325,-0.038235128,-0.13918489,False
La Liga J28,Real Sociedad vs Osasuna,D,0.29684228,3.4,0.2746600651655533,0.022182226,0.009263754,False
La Liga J28,Real Sociedad vs Osasuna,A,0.25246924,3.95,0.23641625862351417,0.016052976,-0.0027464628,False
La Liga J28,Rayo Vallecano vs Levante,H,0.54731894,1.69,0.5528305360279824,-0.005511582,-0.07503098,False
La Liga J28,Rayo Vallecano vs Levante,D,0.26027095,3.73,0.2504781785220617,0.009792775,-0.029189348,False
La Liga J28,Rayo Vallecano vs Levante,A,0.19241013,4.75,0.19669128544995582,-0.004281163,-0.08605188,False
Serie A J29,Torino vs Parme,H,0.43952358,2.12,0.44149412164038637,-0.0019705296,-0.068210065,False
Serie A J29,Torino vs Parme,D,0.28221542,2.95,0.3172771314839387,-0.035061717,-0.1674645,False
Serie A J29,Torino vs Parme,A,0.27826104,3.88,0.24122874687567505,0.03703229,0.079652905,False
Serie A J29,Inter Milan vs Atalanta,H,0.6964332,1.52,0.6138450428144021,0.082588136,0.058578372,True
Serie A J29,Inter Milan vs Atalanta,D,0.16980216,4.25,0.2195398741359744,-0.04973772,-0.27834082,False
Serie A J29,Inter Milan vs Atalanta,A,0.13376465,5.6,0.1666150830496234,-0.03285043,-0.25091797,False
Serie A J29,Naples vs Lecce,H,0.67412186,1.36,0.6867575593952483,-0.012635708,-0.083194256,False
Serie A J29,Naples vs Lecce,D,0.19886671,4.4,0.2122705183585313,-0.013403803,-0.12498647,False
Serie A J29,Naples vs Lecce,A,0.12701143,9.25,0.1009719222462203,0.026039511,0.17485571,False
Serie A J29,Udinese vs Juventus,H,0.17385754,5.6,0.16638442460859398,0.007473111,-0.026397765,False
Serie A J29,Udinese vs Juventus,D,0.2141227,3.88,0.24014246850724907,-0.026019767,-0.16920394,False
Serie A J29,Udinese vs Juventus,A,0.6120198,1.57,0.5934731068841569,0.01854664,-0.0391289,False
Serie A J29,Hellas Verone vs Genoa,H,0.25921255,3.18,0.2939644265833148,-0.034751862,-0.17570406,False
Serie A J29,Hellas Verone vs Genoa,D,0.27351198,3.0,0.31160229217831364,-0.03809032,-0.1794641,False
Serie A J29,Hellas Verone vs Genoa,A,0.46727547,2.37,0.3944332812383717,0.07284218,0.107442856,True
Serie A J29,Pise vs Cagliari,H,0.35057193,2.45,0.380916462379785,-0.030344546,-0.14109874,False
Serie A J29,Pise vs Cagliari,D,0.3303192,3.03,0.3080017600100572,0.02231744,0.0008671284,False
Serie A J29,Pise vs Cagliari,A,0.3191089,3.0,0.31108177761015776,0.008027136,-0.04267329,False
Serie A J29,Sassuolo vs Bologne,H,0.30810717,2.68,0.34936042668706424,-0.04125327,-0.17427278,False
Serie A J29,Sassuolo vs Bologne,D,0.28518084,3.27,0.2863259766120282,-0.0011451542,-0.06745869,False
Serie A J29,Sassuolo vs Bologne,A,0.406712,2.57,0.3643135967009075,0.042398393,0.04524982,False
Serie A J29,Come vs Roma,H,0.5192696,2.02,0.4503378767202118,0.0689317,0.048924565,True
Serie A J29,Come vs Roma,D,0.20859289,3.3,0.27566136696206905,-0.06706849,-0.31164348,False
Serie A J29,Come vs Roma,A,0.27213752,3.32,0.27400075631771925,-0.0018632412,-0.09650344,False
Serie A J29,Lazio vs Milan AC,H,0.278536,3.8,0.2456575682382134,0.03287843,0.05843675,False
Serie A J29,Lazio vs Milan AC,D,0.29365614,3.3,0.28287841191067,0.010777742,-0.030934751,False
Serie A J29,Lazio vs Milan AC,A,0.4278078,1.98,0.47146401985111663,-0.0436562,-0.15294051,False
Serie A J29,Cremonese vs Fiorentina,H,0.26151899,3.78,0.24755100699086152,0.013967976,-0.011458218,False
Serie A J29,Cremonese vs Fiorentina,D,0.30065325,3.53,0.26508294799588,0.035570294,0.061306,False
Serie A J29,Cremonese vs Fiorentina,A,0.43782774,1.92,0.4873660450132586,-0.049538314,-0.15937078,False
Bundesliga J26,B. Monchengladbach vs St. Pauli,H,0.42658913,1.95,0.47969294927389144,-0.053103805,-0.1681512,False
Bundesliga J26,B. Monchengladbach vs St. Pauli,D,0.30178735,3.35,0.2792242540549517,0.0225631,0.010987639,False
Bundesliga J26,B. Monchengladbach vs St. Pauli,A,0.27162355,3.88,0.24108279667115678,0.03054075,0.053899407,False
Bundesliga J26,B. Leverkusen vs Bayern Munich,H,0.3689684,4.7,0.19923779633469707,0.1697306,0.73415136,True
Bundesliga J26,B. Leverkusen vs Bayern Munich,D,0.27356726,4.5,0.20809280950512804,0.06547445,0.23105264,True
Bundesliga J26,B. Leverkusen vs Bayern Munich,A,0.35746434,1.58,0.5926693941601748,-0.23520502,-0.4352063,False
Bundesliga J26,Francfort vs Heidenheim,H,0.6594596,1.5,0.6240648379052368,0.03539473,-0.010810614,False
Bundesliga J26,Francfort vs Heidenheim,D,0.2044561,4.55,0.20573566084788028,-0.0012795478,-0.06972468,False
Bundesliga J26,Francfort vs Heidenheim,A,0.13608432,5.5,0.1701995012468828,-0.03411518,-0.25153625,False
Bundesliga J26,Dortmund vs Augsbourg,H,0.6999907,1.39,0.6738880846603105,0.026102602,-0.027012944,False
Bundesliga J26,Dortmund vs Augsbourg,D,0.18004167,5.0,0.1873408875355663,-0.0072992146,-0.099791646,False
Bundesliga J26,Dortmund vs Augsbourg,A,0.11996765,6.75,0.13877102780412318,-0.01880338,-0.19021839,False
Bundesliga J26,Hoffenheim vs Wolfsburg,H,0.7343843,1.45,0.6446858926197769,0.089698434,0.064857244,True
Bundesliga J26,Hoffenheim vs Wolfsburg,D,0.13444269,4.85,0.1927411431543663,-0.058298454,-0.34795296,False
Bundesliga J26,Hoffenheim vs Wolfsburg,A,0.13117301,5.75,0.16257296422585676,-0.03139995,-0.2457552,False
Bundesliga J26,Hamburger SV vs Cologne,H,0.45606908,2.05,0.45606355695250583,5.5134296e-06,-0.06505841,False
Bundesliga J26,Hamburger SV vs Cologne,D,0.26462874,3.53,0.26485277386760253,-0.00022402406,-0.06586057,False
Bundesliga J26,Hamburger SV vs Cologne,A,0.2793022,3.35,0.2790836691798916,0.00021854043,-0.06433761,False
Bundesliga J26,Werder Breme vs Mayence,H,0.4192555,2.23,0.4194388197859416,-0.00018331409,-0.06506026,False
Bundesliga J26,Werder Breme vs Mayence,D,0.26458693,3.48,0.2687783241731752,-0.0041913986,-0.07923752,False
Bundesliga J26,Werder Breme vs Mayence,A,0.3161576,3.0,0.31178285604088324,0.0043747425,-0.051527143,False
Bundesliga J26,Fribourg vs Union Berlin,H,0.4487239,2.12,0.44122957816845726,0.0074943304,-0.04870534,False
Bundesliga J26,Fribourg vs Union Berlin,D,0.3684683,3.27,0.2860570965495809,0.08241123,0.20489132,True
Bundesliga J26,Fribourg vs Union Berlin,A,0.18280777,3.43,0.2727133252819619,-0.08990556,-0.37296933,False
Bundesliga J26,Stuttgart vs RB Leipzig,H,0.5171888,2.2,0.424805179094751,0.09238362,0.13781536,True
Bundesliga J26,Stuttgart vs RB Leipzig,D,0.21287292,3.93,0.23780442595634915,-0.024931505,-0.16340941,False
Bundesliga J26,Stuttgart vs RB Leipzig,A,0.2699383,2.77,0.3373903949488997,-0.0674521,-0.25227094,False
Ligue 1 J26,Marseille vs Auxerre,H,0.6692371,1.44,0.6487257173409375,0.020511389,-0.036298573,False
Ligue 1 J26,Marseille vs Auxerre,D,0.20046762,4.55,0.20531099625735166,-0.004843384,-0.08787233,False
Ligue 1 J26,Marseille vs Auxerre,A,0.13029528,6.4,0.14596328640171094,-0.015668005,-0.16611022,False
Ligue 1 J26,Lorient vs Lens,H,0.24843015,4.15,0.22542483951650807,0.023005307,0.030985117,False
Ligue 1 J26,Lorient vs Lens,D,0.29486588,3.63,0.2577171030285148,0.037148774,0.070363164,False
Ligue 1 J26,Lorient vs Lens,A,0.45670396,1.81,0.5168580574549771,-0.06015408,-0.17336583,False
Ligue 1 J26,Angers vs Nice,H,0.30581963,3.1,0.3012591325975439,0.0045605004,-0.051959157,False
Ligue 1 J26,Angers vs Nice,D,0.27000836,3.23,0.28913415202860254,-0.01912579,-0.127873,False
Ligue 1 J26,Angers vs Nice,A,0.424172,2.28,0.4096067153738536,0.014565289,-0.032887816,False
Ligue 1 J26,Monaco vs Brest,H,0.5728216,1.62,0.5759789423873181,-0.0031573176,-0.072028995,False
Ligue 1 J26,Monaco vs Brest,D,0.24528533,4.1,0.22758192357742815,0.017703414,0.005669832,False
Ligue 1 J26,Monaco vs Brest,A,0.18189308,4.75,0.19643913403525373,-0.014546052,-0.13600785,False
Ligue 1 J26,Strasbourg vs Paris FC,H,0.5270595,1.71,0.546448087431694,-0.019388616,-0.09872824,False
Ligue 1 J26,Strasbourg vs Paris FC,D,0.28157875,3.8,0.24590163934426235,0.035677105,0.06999922,False
Ligue 1 J26,Strasbourg vs Paris FC,A,0.19136176,4.5,0.20765027322404375,-0.016288519,-0.13887209,False
Ligue 1 J26,Le Havre vs Lyon,H,0.25225332,3.8,0.24570785251899796,0.006545469,-0.041437387,False
Ligue 1 J26,Le Havre vs Lyon,D,0.27021497,3.42,0.27300872502110884,-0.002793759,-0.07586479,False
Ligue 1 J26,Le Havre vs Lyon,A,0.47753167,1.94,0.48128342245989303,-0.0037517548,-0.07358855,False
Ligue 1 J26,Metz vs Toulouse,H,0.21796046,3.85,0.24266064463149248,-0.02470018,-0.16085225,False
Ligue 1 J26,Metz vs Toulouse,D,0.24709788,3.3,0.2831040854034079,-0.036006212,-0.18457699,False
Ligue 1 J26,Metz vs Toulouse,A,0.5349417,1.97,0.4742352699650995,0.060706407,0.053835154,True
Ligue 1 J26,Rennes vs Lille,H,0.35259205,2.32,0.4031874104229872,-0.050595373,-0.18198645,False
Ligue 1 J26,Rennes vs Lille,D,0.241216,3.37,0.27756522023184876,-0.036349207,-0.18710208,False
Ligue 1 J26,Rennes vs Lille,A,0.40619192,2.93,0.3192473693451639,0.08694455,0.1901424,True
