Metric,Baseline (v2),Europe (v3),Delta
Features,15.0,17.0,+2.0000 (better)
CV Log Loss,0.9931,0.9928,-0.0003 (better)
Validation Log Loss,0.9902,0.9896,-0.0006 (better)
Validation Accuracy,0.5173,0.5194,+0.0021 (better)
Test Log Loss,0.9976,0.9982,+0.0006 (worse)
Test Accuracy,0.52,0.5177,-0.0023 (worse)
Test F1 (Weighted),0.4479,0.4464,-0.0015 (worse)
Test F1 (Macro),0.3967,0.3953,-0.0014 (worse)
Home Win Precision,0.5328,0.5329,+0.0001 (better)
Home Win Recall,0.7826,0.7803,-0.0023 (worse)
Home Win F1,0.634,0.6333,-0.0007 (worse)
Draw Precision,0.3333,0.3448,+0.0115 (better)
Draw Recall,0.0118,0.0131,+0.0013 (better)
Draw F1,0.0228,0.0253,+0.0025 (better)
Away Win Precision,0.5023,0.4959,-0.0064 (worse)
Away Win Recall,0.5682,0.563,-0.0052 (worse)
Away Win F1,0.5332,0.5273,-0.0059 (worse)
